2025-05-23T12:23:52.097Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-connectd: Connect IN
2025-05-23T12:23:52.097Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-connectd: peer_out WIRE_INIT
2025-05-23T12:23:52.111Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-connectd: peer_in WIRE_INIT
2025-05-23T12:23:52.111Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-connectd: Handed peer, entering loop
2025-05-23T12:23:52.111Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-gossipd: seeker: chosen as startup peer
2025-05-23T12:23:52.111Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-gossipd: seeker: starting gossip (EVERYTHING)
2025-05-23T12:23:52.111Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-connectd: peer_out WIRE_GOSSIP_TIMESTAMP_FILTER
2025-05-23T12:23:52.121Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-connectd: peer_in UNKNOWN 39409
2025-05-23T12:23:52.209Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-connectd: Activating for message WIRE_OPEN_CHANNEL2
2025-05-23T12:23:52.211Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: pid 1485020, msgfd 87
2025-05-23T12:23:52.211Z DEBUG   hsmd: Client: Received message 30 from client
2025-05-23T12:23:52.211Z DEBUG   hsmd: Client: Received message 10 from client
2025-05-23T12:23:52.211Z DEBUG   hsmd: new_client: 1
2025-05-23T12:23:52.212Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-hsmd: Got WIRE_HSMD_GET_PER_COMMITMENT_POINT
2025-05-23T12:23:52.212Z DEBUG   hsmd: Client: Received message 18 from client
2025-05-23T12:23:52.212Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-hsmd: Got WIRE_HSMD_GET_PER_COMMITMENT_POINT
2025-05-23T12:23:52.212Z DEBUG   hsmd: Client: Received message 18 from client
2025-05-23T12:23:52.212Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_in WIRE_OPEN_CHANNEL2
2025-05-23T12:23:52.213Z DEBUG   plugin-funder: Policy match (100%) returned funding amount of 0sat. Reserve tank too low. available_funds 0sat, reserve_tank requires 0sat
2025-05-23T12:23:52.221Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_out WIRE_ACCEPT_CHANNEL2
2025-05-23T12:23:52.221Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: billboard: channel open: accept sent, waiting for reply
2025-05-23T12:23:52.240Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-connectd: peer_in WIRE_GOSSIP_TIMESTAMP_FILTER
2025-05-23T12:23:52.405Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_in WIRE_TX_ADD_INPUT
2025-05-23T12:23:52.406Z DEBUG   plugin-funder: openchannel_changed PSBT is cHNidP8BAgQCAAAAAQMElgAAAAEEAQEBBQEAAQYBAwH7BAIAAAAAAQCEAgAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8DASYA/////wIA8gUqAQAAABYAFAp4wFgjIE0+9l+s8Ie5vwpfIOIbAAAAAAAAAAAmaiSqIant4vYcP3HR3v0/qZnfo2lTdVxpBol5mWK0i+vYNpdOjPkAAAAAAQ4guosbERYhgVVSZQowrfFopwqVQ7+WQM/8Expb0fCnHG8BDwQAAAAAARAE/f///wz8CWxpZ2h0bmluZwEIAAAAAAAAAAAA
2025-05-23T12:23:52.406Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_out WIRE_TX_COMPLETE
2025-05-23T12:23:52.409Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_in WIRE_TX_ADD_OUTPUT
2025-05-23T12:23:52.410Z DEBUG   plugin-funder: openchannel_changed PSBT is cHNidP8BAgQCAAAAAQMElgAAAAEEAQEBBQEBAQYBAwH7BAIAAAAAAQCEAgAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8DASYA/////wIA8gUqAQAAABYAFAp4wFgjIE0+9l+s8Ie5vwpfIOIbAAAAAAAAAAAmaiSqIant4vYcP3HR3v0/qZnfo2lTdVxpBol5mWK0i+vYNpdOjPkAAAAAAQ4guosbERYhgVVSZQowrfFopwqVQ7+WQM/8Expb0fCnHG8BDwQAAAAAARAE/f///wz8CWxpZ2h0bmluZwEIAAAAAAAAAAAAAQMIOVD+KQEAAAABBCJRILJYpPzdMUk1+HHh/UGf+jV/Xp6xaybkt42uuswvP+pgDPwJbGlnaHRuaW5nAQgAAAAAAAAAAgA=
2025-05-23T12:23:52.410Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_out WIRE_TX_COMPLETE
2025-05-23T12:23:52.412Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_in WIRE_TX_ADD_OUTPUT
2025-05-23T12:23:52.412Z DEBUG   plugin-funder: openchannel_changed PSBT is cHNidP8BAgQCAAAAAQMElgAAAAEEAQEBBQECAQYBAwH7BAIAAAAAAQCEAgAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8DASYA/////wIA8gUqAQAAABYAFAp4wFgjIE0+9l+s8Ie5vwpfIOIbAAAAAAAAAAAmaiSqIant4vYcP3HR3v0/qZnfo2lTdVxpBol5mWK0i+vYNpdOjPkAAAAAAQ4guosbERYhgVVSZQowrfFopwqVQ7+WQM/8Expb0fCnHG8BDwQAAAAAARAE/f///wz8CWxpZ2h0bmluZwEIAAAAAAAAAAAAAQMIOVD+KQEAAAABBCJRILJYpPzdMUk1+HHh/UGf+jV/Xp6xaybkt42uuswvP+pgDPwJbGlnaHRuaW5nAQgAAAAAAAAAAgABAwggoQcAAAAAAAEEIgAgIJChchiCscY0pQ+kd31i++ik2ot27qbm7Qg8Rr7+4R0M/AlsaWdodG5pbmcBCAAAAAAAAAAEAA==
2025-05-23T12:23:52.413Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_out WIRE_TX_COMPLETE
2025-05-23T12:23:52.416Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: peer_in WIRE_TX_COMPLETE
2025-05-23T12:23:52.416Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-hsmd: Got WIRE_HSMD_SETUP_CHANNEL
2025-05-23T12:23:52.416Z DEBUG   hsmd: Client: Received message 31 from client
2025-05-23T12:23:52.416Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: billboard: channel open: commitment ready to send, sending channel to lightningd to save
2025-05-23T12:23:52.416Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-chan#1: Initial channel state CGOSSIP_PRIVATE_WAITING_FOR_USABLE
2025-05-23T12:23:52.417Z INFO    02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-chan#1: State changed from DUALOPEND_OPEN_INIT to DUALOPEND_OPEN_COMMIT_READY
2025-05-23T12:23:52.419Z DEBUG   hsmd: Client: Received message 28 from client
2025-05-23T12:23:52.419Z DEBUG   plugin-cln-grpc: Failed to parse notification from lightningd Error("invalid type: null, expected a string", line: 0, column: 0)
2025-05-23T12:23:52.420Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-hsmd: Got WIRE_HSMD_SIGN_REMOTE_COMMITMENT_TX
2025-05-23T12:23:52.420Z DEBUG   hsmd: Client: Received message 19 from client
2025-05-23T12:23:52.420Z DEBUG   02f76074ccc985d1133e77366fadd03d7b9ebcfe47ff11498f140d7fd6fd3e97c8-dualopend-chan#1: signature 304402207bfc4c99e39647a23bff23c30d8a2d70ae826a43e5e9ff7ac34e44c4d0cd051102206d6b510cf07f2d62e3b90781627fc184059aeab73c02e7cd41027cdd9e54ac6e01 on tx 02000000019656e7b39d714f14d4fa3f35cc76ae204ee1067e3321698a64e756e6199b10840100000000f6eca680024a01000000000000220020da162b2aa48e99c5d3a89eb73d8d4754e864abce0bbf2c869676c7f3090def5a299d0700000000002200203cdd6b45af9941c14d468950babb5f926e3202357f2cbbd1a8f7bdbf5cd44c86809c4c20 using key 03ce7915f417808589e9b68b2de3303f8eed4a92839e0ae10e91b2b968c79d4e6d
